ID,Name,Website,Logo,Short Description,Sector,R Strategy 1,R Strategy 2,Is Marketplace?,"Is rental, lend or swap?",Is Reverse Logistics?,Is Resale?,Is Asset Management/Tracking,Is 3rd Sector?,Active?,Dup check
,Arianee,https://www.arianee.org/ecosystem,Arianee.svg,"Arianee provides open-source, blockchain-based digital product passports to enable circular business models, product traceability, and extended product lifespans for brands and consumers.",All/Any,R1 Rethink,R3 Reuse,No,No,No,No,Yes,No,,FALSE
,Boomerang,https://www.boomerang.re/,Boomerang.svg,"A key pillar of ecological transformation, repair is a growing challenge in our society. BOOMERANG is here to remove the technical and organizational constraints that limit its large-scale adoption.",Unknown,R4 Repair,,No,No,No,No,No,No,Yes,FALSE
,Brick Borrow,https://www.brickborrow.com,BrickBorrow.jpg,Borrow from a library of LEGO sets with a monthly subscription.,Retail,R1 Rethink,,Yes,Yes,No,No,No,No,,FALSE
,Bumerang,https://www.youbumerang.com,Bumerang.svg,Reuse as a service. Building the most impactful reuse community in Europe by unleashing the full potential of reusable container systems through technology.,Retail,R3 Reuse,,No,No,No,No,No,No,,FALSE
,Circular Way,https://www.circularway.com,CircularWay.svg,Bringing circular retail to life. Redefining retail by creating a fully closed-loop shopping experience.,Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,No,,FALSE
,ClearCycle,https://clearcycle.co.uk/,ClearCycle.svg,"Liquidates problem stock for the best yield, enabling retailers to sell sustainably.",Retail,R3 Reuse,,Yes,No,No,No,No,No,,FALSE
,Come Back Goods,http://comebackgoods.com/,ComebackGoods.png,"We work directly with brands to bring shoppers high quality, imperfect goods.

Brands stay sustainable, and shoppers get a great deal.",Retail,R3 Reuse,,Yes,No,No,No,No,No,,FALSE
,Dress for a Night,http://www.dressforanight.com.au,DressForANight.jpg,"Designer Formal Dress Hire
Rent the dress... why would you buy if you only wear it for a night?",Fashion & Textiles,R1 Rethink,,Yes,Yes,No,No,No,No,,FALSE
,For The Creators,https://www.forthecreators.co,ForTheCreators.svg,"A circular fashion platform for maternity and postnatal fashion, offering rental and purchase options.",Fashion & Textiles,R1 Rethink,,Yes,Yes,No,No,No,No,,FALSE
,Laybl,https://www.laybl.app/,Laybl.png,"Turn every garment into a profit-driving + planet-protecting product.
Track, resell and reuse every item you make, without adding complexity. LAYBL makes circularity effortless - for brands, resellers, and consumers.",Fashion & Textiles,R3 Reuse,R1 Rethink,No,No,No,No,No,No,No?,FALSE
,Manufy,https://www.manufy.com,Manufy.svg,"Circularity made profitable. Connecting businesses to solutions with ROI-backed cases. We make circularity profitable and practical. We equip brands with the tools, data, and partners to turn ambition into action, proving that sustainability can drive growth, boost ROI, and build business resilience - while reducing environmental impact.",,,,,,,,,,,FALSE
,Matoha,https://www.matoha.com,Matoha.png,"Enabling global recycling with easy-to-use, affordable and portable material identification devices.",All/Any,R8 Recycle,,No,No,No,No,No,No,,FALSE
,NextBike,https://www.linkedin.com/company/nextbikeofficial/,NextBike.jpg,"nextbike is the European market leader in bike sharing and has been standing for a multimodal and socially fair transport transformation for 20 years. In over 300 locations in more than 20 countries, nextbike has established bike sharing as an elementary component of liveable cities and regions. Integrated into public transport, the company offers millions of users the ideal means of transport for their daily needs with pedal bikes, e-bikes and cargo bikes.",Unknown,R1 Rethink,,No,No,No,No,No,No,,FALSE
,Recycle Global Exchange (RGX),https://www.recyclegx.com/,RecycleGlobalExchange.png,"Recycle Global Exchange (RGX) is a digital marketplace for business eWaste and IT asset disposal (ITAD), managing the entire transaction on one neutral, easy-to-use platform.",IT Hardware,R8 Recycle,,Yes,No,No,No,No,No,,FALSE
,Rei Used,https://www.rei.com/used,ReiUsed.svg,"Members, shop and trade in used
Nature doesn’t waste a thing. We can do the same. Reimagine the lifecycle of outdoor gear.",Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,No,,FALSE
,RENTALL,https://www.rentallsoftware.com,Rentall.png,RENTALL is a cloud-based car rental software platform designed to simplify and optimize vehicle and machinery rental operations for businesses of all sizes.,Automotive,R1 Rethink,,No,No,No,No,No,No,,FALSE
,Returnal,https://www.returnal.co.uk/,Returnal.svg,"Grab a Slice of the Pre-Loved Pie
We create and service branded trade-in platforms for leading DIY, Appliance and Furniture retailers enabling customers to trade pre-loved products for store credit.",IT Hardware,R3 Reuse,,Yes,No,No,Yes,No,No,,FALSE
,Revibe,https://www.revibecollective.com/,Revibe.png,"Powering profitable circular businesses for brands.
We provide branded end-to-end, full-service P2P resale, take- back, surplus, rental, and repair - all on your own website",Retail,R1 Rethink,R3 Reuse,No,Yes,Yes,Yes,No,No,,FALSE
,Revivn,https://www.revivn.com/revivn-app,Revivn.svg,"Revivn makes hardware lifecycle management easy and secure, while giving your team the option of getting funds back or donating to communities in need.

Manage the complete end-of-life process, from scheduling pick-ups to downloading certifications and reports, all from a single platform.",IT Hardware,R3 Reuse,,No,No,No,Yes,Yes,No,,FALSE
,Revra,https://revra.com.au/,Revra.png,"Transforming the way people access premium technology with high-quality, refurbished iPhones through a flexible, subscription-based model.",IT Hardware,R1 Rethink,,Yes,Yes,No,No,No,No,,FALSE
,Sharpei,https://www.gosharpei.com/,Sharpei.svg,"Enables merchants to offer rental, lease-to-own, and subscription options at checkout, enhancing customer purchasing power while driving revenue.",Retail,R1 Rethink,,No,No,No,No,No,No,,FALSE
,Shopfront,https://www.shopfrontapp.co,Shopfront.svg,"List once. Sell everywhere.
Scale fast.
More than just a cross-lister - Shopfront automates your entire selling workflow, from listing to sales, so you can manage your inventory and listings across multiple marketplaces.",Retail,R3 Reuse,,No,No,No,Yes,No,No,,FALSE
,Tier Mobility,https://www.tier.app/en/,TierDott.svg,"Change mobility for good, together
Discover the European Champion of micromobility. ",Unknown,R1 Rethink,,No,No,No,No,No,No,,FALSE
,Wardrobly,https://wardrobly.com,Wardrobly.png,"Wardrobly is Greece's fashion rental wardrobe offering high-end fashion rentals at affordable prices in an easy and eco-friendly way.
",Fashion & Textiles,R1 Rethink,,Yes,Yes,No,No,No,No,,FALSE
,Arrive Platform,https://thearriveplatform.com/,ArriveRecommerce.svg,"ARRIVE RECOMMERCE

The Best-in-Class Approach to Off-Price and Recommerce

Arrive transforms excess inventory and non-new returns into profitable, branded secondary channels.  ",Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,No,,FALSE
,BIYU,https://www.biyu.world/,Biyu.png,"Enabling the shift from ownership to access, from buying to renting.
Modular rental and subscription platform designed to integrate effortlessly with your existing business infrastructure.",Retail,R3 Reuse,R1 Rethink,No,Yes,No,No,No,No,,FALSE
,Circular ERP,https://www.circular-erp.com/,CircularErp.png,Accelerating the circular economy. Optimizing workflows and scaling sustainability - all in one powerful platform.,Retail,R3 Reuse,R1 Rethink,No,Yes,No,No,No,No,,FALSE
,Empower,https://empower.eco/,Empower.svg,"
Enabling circularity with data.

Building blockchain-based digital products and software solutions for a sustainablity, including Digital Product Passports.",Unknown,R1 Rethink,R3 Reuse,No,No,No,No,Yes,No,,FALSE
,Faume,https://www.faume.co/en,Faume.svg,"Discover Your One-Stop-Shop Resale Solution!

Empowering fashion and luxury brands with technology and logistics for profitable, sustainable secondhand programs",Fashion & Textiles,R3 Reuse,,Yes,No,No,Yes,No,No,,FALSE
,Patturn,https://www.patturn.io/,Patturn.png,"A Resale-First Solution to Returns
Launch your brand's recommerce program through Patturn's ReCommerce OS.",Retail,R3 Reuse,,No,No,No,Yes,No,No,,FALSE
,Reuse Standard,https://reuse-standard.org/,,A draft (alpha) Open Data Standard to accelerate and de-risk the shift towards reusable products (especially packaging).,,R3 Reuse,,No,No,No,No,No,Yes,,FALSE
,Trashie,https://www.trashie.io/,Trashie.png,"Recycling meets rewards. ""Take Back"" clothes and tech enabling easy recycling",Retail,R3 Reuse,,No,No,No,No,No,No,,FALSE
,Circulaire,https://data.gocirculaire.com/,Circulaire.svg,"The #1 Real-Time Pricing Insights Platform
* AI-powered accurate, modern and powerful platform for second-hand market data.
* Available through flexible APIs or user interface.
* Improve your margins and increase your sales. Become data-driven in your pricing decisions.",Retail,R3 Reuse,R1 Rethink,No,No,No,No,No,No,,FALSE
,Swoondle Society,https://www.swoondlesociety.com/,TheSwoondleSociety.png,Brands: Add resale to your shopify store in under an hour! Parents: Trade in kids'​ clothes + shop ,Retail,R3 Reuse,R1 Rethink,Yes,No,No,Yes,No,No,Yes,FALSE
,Parently,https://www.parently.se/,Parently.png,"Rent children's products: smooth, flexible and durable ",Retail,R1 Rethink,R3 Reuse,Yes,Yes,No,No,No,No,Yes,FALSE
,Tiny Library,https://tinylibrary.nl/,TinyLibrary.png,Rent your baby and children’s products ,Retail,R1 Rethink,R3 Reuse,Yes,Yes,No,No,No,No,Yes,FALSE
,Origami Marketplace,https://origami-marketplace.com/en-gb/resale-solution/,OrigamiMarketplace.svg,"White-Label Resale Solution for companies (C2C & C2B2C) 🌱
Launch your own second-hand marketplace with Origami Marketplace and effortlessly connect sellers and buyers around pre-owned products. Develop your business with our turnkey resale solution for a profitable, sustainable model tailored to your brand image.",Retail,R3 Reuse,,Yes,No,No,Yes,No,No,Yes,FALSE
,Zipsale,https://www.zipsale.co.uk/,Zipsale.svg,"Crosslisting software for second hand sellers
Easily Import and crosslist your items on up to 8 different marketplaces.",Retail,R3 Reuse,,No,No,No,Yes,No,No,Yes,FALSE
,S2Dynamics,https://s2sdynamics.com,S2Dynamics.png,"AI-driven solutions for circular electronics and e-waste
Empowering producers and recyclers with intelligent tools to maximize material recovery, unlock value and ensure compliance",Waste Management,R8 Recycle,,No,No,No,No,No,No,Yes,FALSE
